track,artist,title,bArtist,bTitle,bId,bUrl,songimage,lyric,rate,downloadUrl
1,周杰伦&费玉清,千里之外,,,,,,,,
2,王力宏,大城小爱,,,,,,,,
3,蔡依琳&陶喆,今天你要嫁给我,,,,,,,,
4,张韶涵,隐形的翅膀,,,,,,,,
5,梁静茹,亲亲,,,,,,,,
6,好男儿,年轻的战场,,,,,,,,
7,蔡依林,假装,,,,,,,,
8,林俊杰,曹操,,,,,,,,
9,周笔畅,别爱我 像爱个朋友,,,,,,,,
10,五月天,恋爱ing,,,,,,,,
11,张靓颖,这该死的爱,,,,,,,,
12,薛之谦,认真的雪,,,,,,,,
13,s.h.e,不想长大,,,,,,,,
14,飞轮海,我有我的young,,,,,,,,
15,周杰伦,菊花台,,,,,,,,
16,范玮琪 张韶涵,如果的事,,,,,,,,
17,梁静茹,暖暖,,,,,,,,
18,吴克群,将军令,,,,,,,,
19,周笔畅,天鹅,,,,,,,,
20,tank&,给我你的爱,,,,,,,,
21,薛之谦/君君,我的Show,,,,,,,,
22,蔡依林,舞娘,,,,,,,,
23,林宇中,靠岸,,,,,,,,
24,刘畊宏,彩虹天堂,,,,,,,,
25,张靓颖,光芒,,,,,,,,
26,Tank,三国恋,,,,,,,,
27,王心凌,彩虹的微笑,,,,,,,,
28,陶喆,太美丽,,,,,,,,
29,蔡依林,马德里不思议,,,,,,,,
30,王力宏,花田错,,,,,,,,
31,李宇春,Give Me Five,,,,,,,,
32,王力宏,在梅边,,,,,,,,
33,周杰伦,听妈妈的话,,,,,,,,
34,S.H.E.,一眼万年,,,,,,,,
35,罗志祥,自我催眠,,,,,,,,
36,徐若瑄,美人鱼,,,,,,,,
37,林俊杰,原来,,,,,,,,
38,S.H.E.,触电,,,,,,,,
39,183club,一把伞,,,,,,,,
40,光良,约定,,,,,,,,
41,周杰伦,本草纲目,,,,,,,,
42,何洁,来自不同星球,,,,,,,,
43,陈坤,太认真,,,,,,,,
44,范玮琪,一个像夏天一个像秋天,,,,,,,,
45,周传雄,寂寞沙洲冷,,,,,,,,
46,王心凌,睫毛弯弯,,,,,,,,
47,金海心,右手戒指,,,,,,,,
48,张韶涵,香水百合,,,,,,,,
49,周杰伦,退后,,,,,,,,
50,陶喆,忘不了,,,,,,,,
51,张信哲,做你的男人,,,,,,,,
52,Twins,我很想爱他,,,,,,,,
53,陈坤,幻觉,,,,,,,,
54,李圣杰/林隆璇,你那么爱她,,,,,,,,
55,F.I.R,飞行部落,,,,,,,,
56,李宇春,皇后与梦想,,,,,,,,
57,戴佩妮,一个人的行李,,,,,,,,
58,杨丞琳,庆祝,,,,,,,,
59,李玖哲,我会好好过,,,,,,,,
60,南拳妈妈,初恋粉色系,,,,,,,,
61,胡彦斌/se7en/刘翔,田径之歌,,,,,,,,
62,蔡健雅,Beautiful Love,,,,,,,,
63,游鸿明,诗人的眼泪,,,,,,,,
64,江美琪,爱哭鬼,,,,,,,,
65,飞轮海/Hebe,只对你有感觉,,,,,,,,
66,范玮琪,黑白配,,,,,,,,
67,光良,都是你,,,,,,,,
68,王心凌,我会好好的,,,,,,,,
69,潘玮柏,反转地球,,,,,,,,
70,林俊杰,爱情yogurt,,,,,,,,
71,潘玮柏/王珞丹,带着我的爱,,,,,,,,
72,韩雪,竹林风,,,,,,,,
73,五月天,Happy Birthday,,,,,,,,
74,Tank,给我你的爱,,,,,,,,
75,王心凌,Woosa,,,,,,,,
76,江美琪/光良,对你有感觉,,,,,,,,
77,杨丞琳,遇上爱,,,,,,,,
78,郭富城,爱情,,,,,,,,
79,张靓颖,放轻松,,,,,,,,
80,潘玮柏/苏芮,我想更懂你,,,,,,,,
81,胡彦斌,皇帝,,,,,,,,
82,蔡依林,心型圈,,,,,,,,
83,吴克群,男佣,,,,,,,,
84,陈绮贞,旅行的意义,,,,,,,,
85,张惠妹,我要快乐,,,,,,,,
86,徐若瑄,I Still Believe,,,,,,,,
87,王力宏,Kiss Goodbye,,,,,,,,
88,罗志祥,真命天子,,,,,,,,
89,周杰伦,夜的第七章,,,,,,,,
90,she,怎么办,,,,,,,,
91,庾澄庆,静静的,,,,,,,,
92,郭美美,不怕不怕,,,,,,,,
93,罗志祥,精舞门,,,,,,,,
94,刘德华,心肝宝贝,,,,,,,,
95,she,天灰,,,,,,,,
96,品冠,又一年又三年,,,,,,,,
97,李宇春,Happy Wake Up,,,,,,,,
98,莫文蔚,如果没有你,,,,,,,,
99,花儿乐队,大喜宙,,,,,,,,
100,黄品冠,无可救药,,,,,,,,
101,梁静茹 ,小手拉大手,,,,,,,,
