track,artist,title,bArtist,bTitle,bId,bUrl,songimage,lyric,rate,downloadUrl
101,T-pain,5 o'clock,,,,,,,,,
100,林宥嘉,美妙生活,,,,,,,,,
99,张栋梁,怎么会哭,,,,,,,,,
98,严艺丹,三寸天堂,,,,,,,,,
97,FIR ,亚特兰提斯,,,,,,,,,
96,吴克群,一半一半,,,,,,,,,
95,陈冠希,Mr.sandam,,,,,,,,,
94,杨幂,爱的供养,,,,,,,,,
93,Linkin Park,Iridescent,,,,,,,,,
92,陈奕迅,孤独患者,,,,,,,,,
91,何洁,我多么怀念,,,,,,,,,
90,郭静&韦礼安,又是艳阳天,,,,,,,,,
89,Kelly Clarkson,Mr.know it all,,,,,,,,,
88,苏打绿&Ella,你被写在我的歌里,,,,,,,,,
87,筷子兄弟,老男孩,,,,,,,,,
86,张超,全日爱,,,,,,,,,
85,林宥嘉,Fly my way,,,,,,,,,
84,郁可唯,好朋友只是朋友,,,,,,,,,
83,曾昱嘉,眼泪不够,,,,,,,,,
82,Ladygaga,You and I,,,,,,,,,
81,炎亚纶&王俪婷,最后一眼,,,,,,,,,
80,井柏然,爱情掉在哪里,,,,,,,,,
79,萧亚轩,爱不离手,,,,,,,,,
78,五月天,OAOA,,,,,,,,,
77,Rihanna,what's my name,,,,,,,,,
76,孙燕姿,当冬夜渐暖,,,,,,,,,
75,苏打绿,你在烦恼什么,,,,,,,,,
74,Beyonce,Best Thing I Never Had,,,,,,,,,
73,陈奕迅,看穿,,,,,,,,,
72,张栋梁,别再惊动爱情,,,,,,,,,
71,Adele,Rolling in the deep,,,,,,,,,
70,那英,你不是说,,,,,,,,,
69,卢广仲,慢灵魂,,,,,,,,,
68,布兰妮,Criminal,,,,,,,,,
67,牛奶咖啡,明天，你好,,,,,,,,,
66,戚薇,如果爱忘了,,,,,,,,,
65,Olivia Ong,Ready for love,,,,,,,,,
64,A-Lin,一瞬之光,,,,,,,,,
63,LMFAO,Sexy and I know it,,,,,,,,,
62,周杰伦,皮影戏,,,,,,,,,
61,严爵,好的事情,,,,,,,,,
60,Flo Rida,Club can't handle me,,,,,,,,,
59,陈奕迅,等你爱我,,,,,,,,,
58,田馥甄,MY LOVE,,,,,,,,,
57,潘玮柏,小小蚂蚁,,,,,,,,,
56,The Wanted,Glad you came,,,,,,,,,
55,张芸京,春泥,,,,,,,,,
54,王心凌&罗志祥,陪我到以后,,,,,,,,,
53,Ladygaga,Judas,,,,,,,,,
52,潘玮柏,UUU,,,,,,,,,
51,方大同,因为你,,,,,,,,,
50,戴佩妮,多么想念你,,,,,,,,,
49,丁当,冷血动物,,,,,,,,,
48,郭富城,永远爱不完,,,,,,,,,
47,梁文音,情人知己,,,,,,,,,
46,Super Junior,Mr.Simple,,,,,,,,,
45,梁静茹,情歌没有告诉你,,,,,,,,,
44,王心凌,爱太空,,,,,,,,,
43,张靓颖,改变,,,,,,,,,
42,杨丞琳,我们都傻,,,,,,,,,
41,Jennifer Lopez,On the floor,,,,,,,,,
40,张杰,最接近天堂的地方,,,,,,,,,
39,黄小琥,顺其自然,,,,,,,,,
38,五月天,星空,,,,,,,,,
37,萧敬腾,只能想念你,,,,,,,,,
36,梁心颐,我不再怕,,,,,,,,,
35,林俊杰,记得,,,,,,,,,
34,周笔畅,黑苹果,,,,,,,,,
33,光良,台北下着雨的星期天,,,,,,,,,
32,方大同&徐佳莹,自以为,,,,,,,,,
31,Selena Gomez,who says,,,,,,,,,
30,杨宗纬,被遗忘的,,,,,,,,,
29,Rihanna,we found love,,,,,,,,,
28,罗志祥,陪你到最后,,,,,,,,,
27,刘惜君,怎么唱情歌,,,,,,,,,
26,贾斯丁,Mistletoe,,,,,,,,,
25,田馥甄,魔鬼中的天使,,,,,,,,,
24,林凡,五天几年,,,,,,,,,
23,黄小琥,重来,,,,,,,,,
22,Christina Aguilera,Moves Like Jagger,,,,,,,,,
21,Twins ,3650,,,,,,,,,
20,许嵩,想象之中,,,,,,,,,
19,郭静,陪着我的时候想着她,,,,,,,,,
18,BY2,一样爱着你,,,,,,,,,
17,炎亚纶,忽然之间,,,,,,,,,
16,周杰伦,Mine Mine,,,,,,,,,
15,Rihanna,California King Bed,,,,,,,,,
14,方大同,好不容易,,,,,,,,,
13,郁可唯&林凡,听你说,,,,,,,,,
12,罗志祥,Touch My Heart,,,,,,,,,
11,田馥甄,还是要幸福,,,,,,,,,
10,Katy Perry,Last Friday Night,,,,,,,,,
9,丁当,一半,,,,,,,,,
8,林宥嘉,想自由,,,,,,,,,
7,Lady Gaga,Born This Way,,,,,,,,,
6,Adele,Some One Like you,,,,,,,,,
5,林俊杰,爱笑的眼睛,,,,,,,,,
4,王力宏,依然爱你,,,,,,,,,
3,张惠妹,我最亲爱的,,,,,,,,,
2,范玮琪,最重要的决定,,,,,,,,,
1,王菲，陈奕迅,因为爱情,,,,,,,,,
